,precision,recall,f1-score,support
0,0.9999868850051017,1.0,0.9999934424595498,381238.0
1,1.0,0.9903846153846154,0.9951690821256038,520.0
accuracy,0.9999869026975204,0.9999869026975204,0.9999869026975204,0.9999869026975204
macro avg,0.9999934425025508,0.9951923076923077,0.9975812622925768,381758.0
weighted avg,0.9999869028692914,0.9999869026975204,0.999986871104467,381758.0
